"idBank";"Dernière mise à jour";"Indicateur";"Composantes du coût du travail";"Unité";"Puissance";"Périodicité";"Activité";"Zone géographique";"Nature";"IDBANK pour sdmx";"﻿Base de l'indice";"Correction"
"010599865";"04/04/2022 11:18";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"%";"0";"Trimestrielle";"B à N - Économie marchande";"France";"Glissement annuel";"BDM";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
