"idBank";"Dernière mise à jour";"Correction";"Quotité de temps de travail";"Puissance";"Indicateur";"Série arrêtée";"Nature";"Métiers";"﻿Base de l'indice";"Périodicité";"Unité";"Zone géographique";"Sexe";"Nomenclature de valorisations"
"001665135";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Quatre-vingt-quinzième centile (C95) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665136";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Quatre-vingt-quinzième centile (C95) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665137";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Quatre-vingt-dix-neuvième centile (C99) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665138";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Quatre-vingt-dix-neuvième centile (C99) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665139";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Quatre-vingt-dix-neuvième centile (C99) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665140";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Rapport interdécile D5/D1 du salaire net annuel";"oui";"Ratio";"Sans objet";"Sans objet";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665141";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Rapport interdécile D9/D1 du salaire net annuel";"oui";"Ratio";"Sans objet";"Sans objet";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665142";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Rapport interdécile D9/D1 du salaire net annuel";"oui";"Ratio";"Sans objet";"Sans objet";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665143";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Rapport interdécile D9/D1 du salaire net annuel";"oui";"Ratio";"Sans objet";"Sans objet";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665144";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Rapport interdécile D9/D5 du salaire net annuel";"oui";"Ratio";"Sans objet";"Sans objet";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665145";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Rapport interdécile D9/D5 du salaire net annuel";"oui";"Ratio";"Sans objet";"Sans objet";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665146";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Rapport interdécile D9/D5 du salaire net annuel";"oui";"Ratio";"Sans objet";"Sans objet";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665147";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Rapport interdécile D5/D1 du salaire net annuel";"oui";"Ratio";"Sans objet";"Sans objet";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665148";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Rapport interdécile D5/D1 du salaire net annuel";"oui";"Ratio";"Sans objet";"Sans objet";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665149";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665150";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665151";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665152";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Évolution du salaire net annuel moyen";"oui";"Taux";"Sans objet";"Sans objet";"Annuelle";"%";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665153";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Évolution du salaire net annuel moyen";"oui";"Taux";"Sans objet";"Sans objet";"Annuelle";"%";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665154";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Évolution du salaire net annuel moyen";"oui";"Taux";"Sans objet";"Sans objet";"Annuelle";"%";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665155";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Évolution du pouvoir d'achat du salaire net annuel moyen";"oui";"Taux";"Sans objet";"Sans objet";"Annuelle";"%";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665156";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Évolution du pouvoir d'achat du salaire net annuel moyen";"oui";"Taux";"Sans objet";"Sans objet";"Annuelle";"%";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
